lmax,repeat,stage,time_ms
2,0,1_convolution.denominator_ms,0.010392162948846817
2,0,2_convolution.weight_nn_ms,0.09077880531549454
2,0,2_convolution.src_gather_ms,0.0124429352581501
2,0,2_convolution.message_tp_ms,1.708263996988535
2,0,2_convolution.aggregation_ms,0.04443409852683544
2,0,2_convolution.denominator_ms,0.01092604361474514
2,0,top_force_output_ms,4.320253850892186
2,0,model_total_ms,30.835228972136974
2,1,edge_length_norm_ms,0.029815826565027237
2,1,radial_basis_ms,0.03689783625304699
2,1,cutoff_ms,0.05592498928308487
2,1,radial_combine_ms,0.00779004767537117
2,1,spherical_harmonics_ms,0.12629409320652485
2,1,0_convolution.weight_nn_ms,0.08840695954859257
2,1,0_convolution.src_gather_ms,0.012380070984363556
2,1,0_convolution.message_tp_ms,2.1827728487551212
2,1,0_convolution.aggregation_ms,0.04804995842278004
2,1,0_convolution.denominator_ms,0.009844079613685608
2,1,1_convolution.weight_nn_ms,0.0859331339597702
2,1,1_convolution.src_gather_ms,0.01285201869904995
2,1,1_convolution.message_tp_ms,6.107681896537542
2,1,1_convolution.aggregation_ms,0.04650792106986046
2,1,1_convolution.denominator_ms,0.010082963854074478
2,1,2_convolution.weight_nn_ms,0.0870849471539259
2,1,2_convolution.src_gather_ms,0.013148877769708633
2,1,2_convolution.message_tp_ms,2.4566431529819965
2,1,2_convolution.aggregation_ms,0.045489054173231125
2,1,2_convolution.denominator_ms,0.010126037523150444
2,1,top_force_output_ms,6.304959999397397
2,1,model_total_ms,41.06278996914625
2,2,edge_length_norm_ms,0.01816684380173683
2,2,radial_basis_ms,0.033566029742360115
2,2,cutoff_ms,0.05795992910861969
2,2,radial_combine_ms,0.007950933650135994
2,2,spherical_harmonics_ms,0.1280659344047308
2,2,0_convolution.weight_nn_ms,0.07759989239275455
2,2,0_convolution.src_gather_ms,0.011533964425325394
2,2,0_convolution.message_tp_ms,0.09936001151800156
2,2,0_convolution.aggregation_ms,0.03571901470422745
2,2,0_convolution.denominator_ms,0.008499948307871819
2,2,1_convolution.weight_nn_ms,0.07581710815429688
2,2,1_convolution.src_gather_ms,0.01109996810555458
2,2,1_convolution.message_tp_ms,0.4016112070530653
2,2,1_convolution.aggregation_ms,0.03765104338526726
2,2,1_convolution.denominator_ms,0.009094132110476494
2,2,2_convolution.weight_nn_ms,0.10636798106133938
2,2,2_convolution.src_gather_ms,0.012069009244441986
2,2,2_convolution.message_tp_ms,0.13559707440435886
2,2,2_convolution.aggregation_ms,0.038510886952281
2,2,2_convolution.denominator_ms,0.00951089896261692
2,2,top_force_output_ms,10.655779857188463
2,2,model_total_ms,14.302853960543871
2,3,edge_length_norm_ms,0.01645484007894993
2,3,radial_basis_ms,0.030872179195284843
2,3,cutoff_ms,0.0552469864487648
2,3,radial_combine_ms,0.008143950253725052
2,3,spherical_harmonics_ms,0.12632319703698158
2,3,0_convolution.weight_nn_ms,0.07880385965108871
2,3,0_convolution.src_gather_ms,0.01199706457555294
2,3,0_convolution.message_tp_ms,0.12575415894389153
2,3,0_convolution.aggregation_ms,0.03611994907259941
2,3,0_convolution.denominator_ms,0.008629867807030678
2,3,1_convolution.weight_nn_ms,0.07469905540347099
2,3,1_convolution.src_gather_ms,0.011448981240391731
2,3,1_convolution.message_tp_ms,0.3987150266766548
2,3,1_convolution.aggregation_ms,0.03790506161749363
2,3,1_convolution.denominator_ms,0.008909963071346283
2,3,2_convolution.weight_nn_ms,0.0742720440030098
2,3,2_convolution.src_gather_ms,0.011835014447569847
2,3,2_convolution.message_tp_ms,0.12340419925749302
2,3,2_convolution.aggregation_ms,0.035088974982500076
2,3,2_convolution.denominator_ms,0.00903196632862091
2,3,top_force_output_ms,4.235540982335806
2,3,model_total_ms,7.143729133531451
2,4,edge_length_norm_ms,0.016230158507823944
2,4,radial_basis_ms,0.03042607568204403
2,4,cutoff_ms,0.05496293306350708
2,4,radial_combine_ms,0.008105998858809471
2,4,spherical_harmonics_ms,0.1205930020660162
2,4,0_convolution.weight_nn_ms,0.07691583596169949
2,4,0_convolution.src_gather_ms,0.011386116966605186
2,4,0_convolution.message_tp_ms,0.09804987348616123
2,4,0_convolution.aggregation_ms,0.03518117591738701
2,4,0_convolution.denominator_ms,0.008399831131100655
2,4,1_convolution.weight_nn_ms,0.07552094757556915
2,4,1_convolution.src_gather_ms,0.011601019650697708
2,4,1_convolution.message_tp_ms,0.42331707663834095
2,4,1_convolution.aggregation_ms,0.04040682688355446
2,4,1_convolution.denominator_ms,0.009068986400961876
2,4,2_convolution.weight_nn_ms,0.0760168768465519
2,4,2_convolution.src_gather_ms,0.011330004781484604
2,4,2_convolution.message_tp_ms,0.1278009731322527
